,brand,model,variant,body_type,fuel_type,engine_cc,transmission,mileage_kmpl_or_range,price_min_inr,price_max_inr,segment,seating,launch_year,country,price,score
40,BMW,X3,Signature Turbo,Sedan,CNG,0.26655800859386575,Automatic,0.017416545718432506,8254738,8850189,Luxury,5,2021,Germany,0.5576653030736587,0.16999106695180988
41,Hyundai,Alcazar,Sport MT,MPV,Diesel,0.4442139576233516,Manual,0.026124818577648763,12275552,13416945,Luxury,6,2017,South Korea,0.8619015155640308,0.1325110991358397
42,BMW,X3,Max EV,MPV,Diesel,0.26655800859386575,DCT,0.010159651669085631,7122871,10326451,Luxury,2,2022,Germany,0.5698663599967023,0.16440088980377754
43,Mercedes-Benz,GLA,Luxury AT,SUV,Hybrid,0.9999999999999999,CVT,0.024673439767779387,573444,5264981,Premium,5,2023,Germany,0.15852120334635494,0.419005403082134
44,Hyundai,i20,Pro X,Sedan,Hybrid,0.4442139576233516,Manual,0.007256894049346879,6064300,6232438,Luxury,5,2019,South Korea,0.3873231445471059,0.24455191830516526
45,Porsche,Panamera,Edition Turbo,SUV,CNG,0.36953622758927246,DCT,0.0029027576197387505,3747381,4726609,Premium,4,2018,Germany,0.2518927058053961,0.261950034233414
46,Toyota,Corolla,Max MT,MPV,Diesel,0.26655800859386575,DCT,0.010159651669085631,2853320,3873540,Premium,5,2018,Japan,0.18999624220413236,0.25936841925192006
47,Ferrari,Roma,Edition S,Hatchback,Electric,0.0,Automatic,0.8708272859216255,10100747,14617398,Luxury,4,2020,Italy,0.8273826514252327,0.34794388721626074
48,Porsche,Panamera,ZX AT,Luxury Sedan,Electric,0.0,Automatic,0.6589259796806967,3745647,7966405,Premium,5,2017,Germany,0.3666091760861623,0.38897179886670324
49,Kia,Carens,Pro X,Luxury Sedan,Petrol,0.14787375907541858,DCT,0.004354136429608127,1524894,5637691,Premium,7,2017,South Korea,0.20543289351380062,0.22974047618699645
50,Mercedes-Benz,S-Class,Premium Plus,MPV,Hybrid,0.5920877166987701,DCT,0.01451378809869376,8507582,12123376,Luxury,6,2016,Germany,0.6825837976610262,0.2028514197590403
51,Mercedes-Benz,A-Class,ZX Plus,Coupe,Petrol,0.1773596088309379,Manual,0.011611030478955007,6510070,7798789,Luxury,7,2020,Germany,0.4586075791557717,0.1748838876448789
52,Lamborghini,Urus,Pro AT,Sedan,CNG,0.29604385834938507,Manual,0.007256894049346879,1398663,5876650,Premium,2,2023,Italy,0.20942656573558333,0.2593920431532526
53,BMW,X1,Max Turbo,Hatchback,CNG,0.5920877166987701,Automatic,0.01451378809869376,5219580,6202148,Premium,4,2019,Germany,0.35632371999613277,0.28441643917526366
54,Lamborghini,Urus,ZX X,MPV,Electric,0.0,Automatic,0.8374455732946299,10246390,14159959,Luxury,7,2018,Italy,0.8163364958643874,0.33902182668702363
55,Porsche,Panamera,Max X,MPV,Electric,0.0,Automatic,0.5500725689404935,8701706,12216532,Luxury,4,2019,Germany,0.6927614124140046,0.2693350460256716
56,Rolls-Royce,Ghost,VX Turbo,Coupe,CNG,0.5920877166987701,DCT,0.013062409288824383,506145,2641369,Mid,5,2020,UK,0.06318892998046917,0.35719215409572524
57,BMW,X5,Signature Hybrid,Coupe,Hybrid,0.4442139576233516,DCT,0.024673439767779387,12324742,14903876,Luxury,2,2019,Germany,0.9163224559426156,0.1183978814577392
58,Mercedes-Benz,E-Class,ZX Hybrid,Sedan,Petrol,0.29604385834938507,CVT,0.018867924528301883,878081,4692596,Premium,2,2021,Germany,0.14903555869695212,0.2785536555805447
59,Tata,Tiago,Edition EV,SUV,Petrol,0.29604385834938507,DCT,0.02322206095791001,2134675,4356347,Premium,6,2017,India,0.18164108936330498,0.2719262206643193
60,Audi,Q3,Max Plus,Coupe,CNG,0.14787375907541858,DCT,0.015965166908563137,9038180,9653129,Luxury,5,2016,Germany,0.6138668654763991,0.13169584386398103
61,Audi,A4,Luxury EV,Luxury Sedan,Petrol,0.11794339902207733,Automatic,0.026124818577648763,7561622,9439993,Luxury,7,2020,Germany,0.5540052162755534,0.14423106223770416
62,Toyota,Corolla,Sport Hybrid,SUV,Petrol,0.2219588087124018,CVT,0.007256894049346879,8423531,12252392,Luxury,6,2018,Japan,0.6841767955981178,0.1258874757602223
63,BMW,3 Series,ZX Plus,Hatchback,Diesel,0.36953622758927246,Automatic,0.005805515239477503,5940698,8668458,Luxury,7,2019,Germany,0.4692463537919285,0.2086275874036895
64,Bentley,Continental GT,Sport MT,MPV,Diesel,0.1773596088309379,CVT,0.010159651669085631,7245039,7494882,Luxury,4,2016,UK,0.4738790319915011,0.17055804185249226
65,Hyundai,Tucson,LX Turbo,SUV,CNG,0.5920877166987701,Automatic,0.026124818577648763,3035967,4299289,Premium,5,2023,South Korea,0.2115501969007803,0.324673680616736
66,Mercedes-Benz,S-Class,VX Plus,Sedan,Hybrid,0.26655800859386575,Manual,0.01451378809869376,9067126,10509176,Luxury,4,2017,Germany,0.6452199628485885,0.14708643684116884
67,Hyundai,Verna,Sport S,SUV,Petrol,0.4442139576233516,Manual,0.010159651669085631,2573790,3497864,Premium,7,2017,South Korea,0.16678392581649693,0.30070268815472606
68,Rolls-Royce,Phantom,Premium AT,SUV,Hybrid,0.14787375907541858,CVT,0.01451378809869376,1717756,4789901,Premium,6,2020,UK,0.18223042597363565,0.23909697115621764
69,Maruti Suzuki,Alto,Pro Plus,SUV,Electric,0.0,Automatic,0.7460087082728593,4543279,7615305,Luxury,7,2020,Japan/India,0.38242869248436934,0.41549587477440836
70,Mahindra,XUV700,Max Turbo,MPV,Hybrid,0.2219588087124018,CVT,0.013062409288824383,495232,3321524,Mid,6,2018,India,0.08689850688283872,0.2772389782728592
71,Honda,Amaze,ZX S,Coupe,Electric,0.0,Automatic,0.5849056603773585,2244344,5939864,Premium,5,2020,Japan,0.24162645142518313,0.3943103682757797
72,Ferrari,Roma,Sport Turbo,Hatchback,Hybrid,0.36953622758927246,Manual,0.008708272859216255,3984201,5891689,Premium,4,2025,Italy,0.3015585305136957,0.25156550839015623
73,BMW,3 Series,Premium Hybrid,Hatchback,Electric,0.0,Automatic,0.5413642960812772,10396352,13573054,Luxury,2,2017,Germany,0.8008566938488952,0.2392633301662232
74,Kia,Seltos,Luxury EV,Sedan,CNG,0.14787375907541858,Manual,0.013062409288824383,6723138,7297833,Luxury,5,2016,South Korea,0.4484084244773902,0.17204448894682467
75,Toyota,Innova Hycross,Luxury Plus,Sedan,Petrol,0.29604385834938507,Automatic,0.017416545718432506,9435886,10674736,Luxury,4,2019,Japan,0.6641495893969434,0.14926716532209255
76,Honda,City,Premium X,Sedan,Electric,0.0,Automatic,0.9782293178519593,4720407,5630646,Premium,7,2024,Japan,0.31839237191883857,0.5127821682684761
77,Hyundai,Tucson,LX Plus,Hatchback,Electric,0.0,Automatic,0.36574746008708275,3879061,8237207,Luxury,5,2017,South Korea,0.38092954201831863,0.2827792255258993
78,Rolls-Royce,Phantom,VX Hybrid,MPV,CNG,0.1773596088309379,DCT,0.004354136429608127,1851729,4396748,Premium,7,2022,UK,0.17304832422037425,0.24373378846145688
79,Mercedes-Benz,E-Class,Sport AT,SUV,Petrol,0.14787375907541858,DCT,0.018867924528301883,6103239,9852991,Luxury,7,2025,Germany,0.5169698298980046,0.15693606792548825
80,Audi,A4,Signature S,MPV,CNG,0.36953622758927246,CVT,0.011611030478955007,3993083,6838654,Premium,7,2016,Germany,0.33542180860054505,0.2441156540353525
81,Mahindra,Scorpio,Base Hybrid,Luxury Sedan,Diesel,0.2219588087124018,DCT,0.011611030478955007,898470,4966385,Premium,7,2017,India,0.1594575524062311,0.25859123430855685
82,Porsche,Cayenne,VX MT,Hatchback,Diesel,0.5920877166987701,DCT,0.0014513788098693744,4545307,7015960,Premium,5,2020,Germany,0.3612672391586775,0.27860871613353894
83,Rolls-Royce,Cullinan,Luxury Turbo,SUV,CNG,0.26655800859386575,CVT,0.011611030478955007,869593,3459213,Mid,6,2023,UK,0.1050391628082862,0.2811156716843359
84,Kia,Sonet,Pro MT,Sedan,Hybrid,0.4442139576233516,Manual,0.021770682148040635,6259319,8005072,Luxury,6,2021,South Korea,0.45703218869059675,0.23220448310383535
85,Honda,City,Luxury Plus,Sedan,Electric,0.0,Automatic,0.5137880986937591,8030598,8677929,Luxury,7,2024,Japan,0.543621838550961,0.2939203749050754
86,Bentley,Continental GT,Pro Plus,Luxury Sedan,Petrol,0.29604385834938507,DCT,0.017416545718432506,5436592,7163754,Luxury,7,2025,UK,0.39807921966518667,0.21578475775503173
87,Tesla,Model Y,Luxury Plus,MPV,Petrol,0.14787375907541858,DCT,0.013062409288824383,1201742,1741425,Mid,5,2018,USA,0.055949424821993596,0.27015923886067383
88,Mercedes-Benz,GLE,LX Turbo,SUV,Electric,0.0,Automatic,0.7271407837445574,4817922,5654797,Premium,4,2023,Germany,0.32270269521505085,0.4238236005068323
89,Mahindra,Scorpio,Base Hybrid,MPV,Diesel,0.26655800859386575,DCT,0.017416545718432506,5919131,7001410,Luxury,7,2020,India,0.40942293087317155,0.20705166000193165
90,Ferrari,SF90,Luxury S,Sedan,Hybrid,0.29604385834938507,CVT,0.008708272859216255,10457985,14861616,Luxury,4,2021,Italy,0.8486907392102067,0.10008398236805105
91,Maruti Suzuki,Ertiga,Sport Turbo,Coupe,CNG,0.14787375907541858,Manual,0.0029027576197387505,8839016,9735428,Luxury,2,2022,Japan/India,0.6097266296503521,0.12815905956940427
92,Maruti Suzuki,Grand Vitara,ZX EV,MPV,Diesel,0.5920877166987701,Manual,0.0014513788098693744,5269621,6853761,Luxury,5,2022,Japan/India,0.38118157331653885,0.2736301325940736
93,Toyota,Corolla,LX AT,SUV,Electric,0.0,Automatic,0.918722786647315,4124305,5708373,Premium,7,2020,Japan,0.30002763699968255,0.4965460660766396
94,Tata,Nexon,VX X,SUV,Hybrid,0.36953622758927246,CVT,0.024673439767779387,3739191,5414730,Premium,4,2016,India,0.2759809673502558,0.26354770759901336
95,Lamborghini,Aventador,LX AT,Sedan,Electric,0.0,Automatic,0.7169811320754718,4972271,6349886,Premium,4,2023,Italy,0.3527961675087727,0.4127443543492219
96,Ferrari,Purosangue,Edition Plus,SUV,Hybrid,0.11794339902207733,Manual,0.0029027576197387505,8140661,12807797,Luxury,6,2025,Italy,0.6938320317325614,0.10114663703818369
97,Bentley,Continental GT,Pro MT,MPV,Electric,0.0,Automatic,0.8301886792452831,2918956,7127472,Premium,2,2025,UK,0.30760026702422,0.46366597097979406
98,Rolls-Royce,Phantom,Signature Plus,Hatchback,CNG,0.36953622758927246,Automatic,0.017416545718432506,7275602,8982544,Luxury,2,2016,UK,0.527665961671049,0.19808654610154364
99,Mahindra,XUV700,VX EV,SUV,CNG,0.29604385834938507,Automatic,0.0,532752,1857754,Mid,2,2017,India,0.03637002233314733,0.3001162660865902
100,Rolls-Royce,Phantom,Premium Hybrid,Hatchback,Electric,0.0,Automatic,0.9912917271407838,9884128,12838337,Luxury,4,2020,UK,0.7566806804901736,0.40778193437673094
101,Kia,Seltos,ZX Plus,Hatchback,CNG,0.14787375907541858,DCT,0.005805515239477503,10369649,11058596,Luxury,4,2022,South Korea,0.7108296899387965,0.10389925966420173
102,Maruti Suzuki,Fronx,Signature EV,Coupe,Diesel,0.1773596088309379,Automatic,0.0029027576197387505,2210434,3055591,Premium,5,2017,Japan/India,0.13824249725959364,0.2519272626181977
103,BMW,5 Series,Max Hybrid,SUV,Hybrid,0.26655800859386575,CVT,0.017416545718432506,6478387,6716591,Luxury,5,2018,Germany,0.41914555012951765,0.20462100518784515
104,Honda,Civic,ZX Hybrid,Hatchback,CNG,0.29604385834938507,CVT,0.0,6342673,10657505,Luxury,4,2019,Japan,0.5539543069452832,0.1707201949335562
105,Tata,Tiago,Max EV,Sedan,Diesel,0.1773596088309379,Automatic,0.010159651669085631,5803787,9528250,Luxury,2,2019,India,0.49485622684347313,0.1653137431394993
106,Tesla,Model 3,Sport Plus,SUV,CNG,0.4442139576233516,Manual,0.021770682148040635,5040626,5793055,Premium,6,2021,USA,0.3354906796778208,0.26258986035702936
107,Kia,Carens,VX Plus,Coupe,Diesel,0.26655800859386575,CVT,0.013062409288824383,4652479,6710234,Premium,7,2019,South Korea,0.35423296555918266,0.21932520358006602
108,Maruti Suzuki,Brezza,Signature AT,SUV,Electric,0.0,Automatic,0.8084179970972424,6151980,10227626,Luxury,5,2022,Japan/India,0.5319689869004306,0.3999540522589272
109,BMW,X5,VX EV,Luxury Sedan,Electric,0.0,Automatic,0.918722786647315,3653379,5986200,Premium,4,2021,Germany,0.29318662046116484,0.49825632021126903
110,BMW,X1,Pro Hybrid,Hatchback,CNG,0.11794339902207733,CVT,0.021770682148040635,6845920,11816410,Luxury,6,2019,Germany,0.6128402116963708,0.12799836563213698
111,Maruti Suzuki,Grand Vitara,VX EV,Luxury Sedan,Diesel,0.4442139576233516,DCT,0.004354136429608127,3056892,4106663,Premium,4,2024,Japan/India,0.20546725819742073,0.288999924725678
112,Hyundai,Venue,LX S,Hatchback,Petrol,0.11794339902207733,DCT,0.026124818577648763,11131921,12980100,Luxury,4,2018,South Korea,0.8059091880287754,0.08125506929939869
113,Honda,Civic,Edition Turbo,Coupe,CNG,0.14787375907541858,Manual,0.0014513788098693744,11009183,13788960,Luxury,2,2021,Japan,0.830216781281153,0.07252853907824977
114,Mercedes-Benz,GLA,Edition Plus,Luxury Sedan,Petrol,0.1773596088309379,Automatic,0.010159651669085631,8643291,10068251,Luxury,4,2018,Germany,0.6145836702637043,0.13538188228444148
115,Hyundai,i20,Premium Hybrid,Coupe,CNG,0.5920877166987701,Automatic,0.0029027576197387505,5619578,8645561,Luxury,5,2020,South Korea,0.4570586884672441,0.25516883638985155
116,Maruti Suzuki,Swift,Edition X,Coupe,Hybrid,0.1773596088309379,CVT,0.013062409288824383,8187983,12995566,Luxury,7,2023,Japan/India,0.7021607202242505,0.11450358496121349
117,Porsche,Panamera,Signature AT,Coupe,Diesel,0.29604385834938507,Manual,0.024673439767779387,6893350,11095932,Luxury,5,2025,Germany,0.5889957976951783,0.17059552616480522
118,Mahindra,Scorpio,Luxury S,Hatchback,Diesel,0.5920877166987701,CVT,0.0029027576197387505,11096208,14169649,Luxury,5,2023,India,0.8467867231725986,0.15773682771351294
119,Porsche,Cayenne,Premium EV,Sedan,Electric,0.0,Automatic,0.4121915820029028,2077557,2669187,Mid,6,2019,Germany,0.11984566501738624,0.36430563744666944
120,Toyota,Innova Hycross,Edition AT,Luxury Sedan,Petrol,0.1773596088309379,Automatic,0.0029027576197387505,4605487,9331979,Luxury,5,2016,Japan,0.44545005034780427,0.17512537434614506
121,Maruti Suzuki,Alto,Base Plus,MPV,Diesel,0.29604385834938507,CVT,0.0029027576197387505,1901879,6050086,Premium,4,2025,Japan/India,0.23339866047880353,0.2518750717170847
122,BMW,7 Series,Sport AT,SUV,Petrol,0.9999999999999999,DCT,0.013062409288824383,4857722,8327851,Luxury,6,2025,Germany,0.418812354408438,0.34986875464897904
123,Mahindra,Bolero,Luxury Plus,SUV,CNG,0.4442139576233516,Manual,0.021770682148040635,1267163,1796691,Mid,4,2018,India,0.06022506458700577,0.3314062641297331
124,Ferrari,SF90,Pro MT,Coupe,CNG,0.9999999999999999,Automatic,0.011611030478955007,9333594,13945747,Luxury,4,2025,Italy,0.7764094099289773,0.2599615081853899
125,Maruti Suzuki,Swift,Edition AT,Hatchback,Petrol,0.5920877166987701,CVT,0.004354136429608127,2784257,7549445,Premium,6,2023,Japan/India,0.317777669212145,0.2904970737870806
126,Honda,Civic,Pro EV,Sedan,Petrol,0.29604385834938507,CVT,0.018867924528301883,8411884,13004769,Luxury,4,2016,Japan,0.7104190142557816,0.13820779169083727
127,Ferrari,296 GTB,Sport S,Hatchback,Electric,0.0,Automatic,0.9680696661828737,3430113,4609144,Premium,7,2023,Italy,0.23649119858454348,0.5297015835178699
128,Mahindra,Thar,Pro Turbo,Hatchback,Electric,0.0,Automatic,0.7039187227866474,11155609,13142977,Luxury,4,2022,India,0.8125187212242273,0.2932418726692697
129,Rolls-Royce,Cullinan,Base MT,Sedan,Diesel,0.9999999999999999,Automatic,0.02322206095791001,8778856,10373028,Luxury,7,2022,UK,0.6301838903819025,0.3005817487397929
130,Mahindra,Thar,Base AT,Coupe,Petrol,0.5920877166987701,Manual,0.026124818577648763,3511102,4104046,Premium,4,2025,India,0.22146607321810347,0.3221947115374052
131,Hyundai,Creta,LX X,Coupe,Hybrid,0.2219588087124018,DCT,0.017416545718432506,9544823,11650837,Luxury,4,2017,South Korea,0.7025897827843776,0.12484010704783735
132,Audi,A8,ZX Hybrid,Hatchback,CNG,0.4442139576233516,CVT,0.0,4676000,5335936,Premium,6,2020,Germany,0.30637830138769906,0.2622482161777456
133,Hyundai,Tucson,Premium Hybrid,Luxury Sedan,Diesel,0.14787375907541858,Manual,0.0,2891121,6117942,Premium,6,2016,South Korea,0.27084900926794264,0.21186249949809804
134,Rolls-Royce,Cullinan,Luxury Turbo,MPV,Electric,0.0,Automatic,0.8258345428156749,4397713,8936465,Luxury,7,2024,UK,0.42407705936654977,0.43302282514384877
135,Porsche,Macan,Premium Plus,Coupe,CNG,0.9999999999999999,CVT,0.017416545718432506,2462911,5958167,Premium,7,2020,Germany,0.2500181654551817,0.39359124963765596
136,BMW,3 Series,Pro S,SUV,CNG,0.29604385834938507,Automatic,0.015965166908563137,723031,1047794,Budget,6,2018,Germany,0.01441626819871275,0.31119251303819595
137,Lamborghini,Urus,Max X,Coupe,Diesel,0.36953622758927246,Automatic,0.01451378809869376,5833584,7503954,Luxury,6,2021,Italy,0.42419609579640916,0.222938047403295
138,BMW,5 Series,Sport X,MPV,Electric,0.0,Automatic,0.6284470246734398,2749581,6479619,Premium,4,2024,Germany,0.27864791479173956,0.400294479937769
139,Kia,Sonet,Pro Plus,MPV,Hybrid,0.2219588087124018,CVT,0.01451378809869376,10555062,11362338,Luxury,7,2024,South Korea,0.7281592330482823,0.1174317793149526
140,Tesla,Model Y,Edition MT,MPV,Diesel,0.9999999999999999,Manual,0.0014513788098693744,936367,2070164,Mid,4,2023,USA,0.05819425349509204,0.4359594192096813
141,BMW,X1,Edition S,Coupe,CNG,0.26655800859386575,DCT,0.0029027576197387505,10360227,11368156,Luxury,4,2021,Germany,0.7214628316010403,0.12396185898542164
142,BMW,5 Series,Max X,Luxury Sedan,Petrol,0.1773596088309379,Automatic,0.0029027576197387505,6261689,9076455,Luxury,6,2016,Germany,0.4950725826402443,0.16271974127303507
143,Maruti Suzuki,Grand Vitara,VX S,Coupe,Petrol,0.14787375907541858,Automatic,0.017416545718432506,6193816,10144250,Luxury,4,2019,Japan/India,0.530497328181276,0.1530462107712161
144,Mercedes-Benz,S-Class,Sport MT,Sedan,Petrol,0.36953622758927246,DCT,0.011611030478955007,11494038,14992083,Luxury,2,2019,Germany,0.8900176368767491,0.10546669696630148
145,Lamborghini,Aventador,Signature X,Sedan,Hybrid,0.4442139576233516,Automatic,0.008708272859216255,9507947,11855021,Luxury,7,2021,Italy,0.7085170884411978,0.16476141491509658
146,Tesla,Model S,VX Turbo,Sedan,Petrol,0.26655800859386575,CVT,0.013062409288824383,9070217,9869932,Luxury,7,2022,USA,0.6226826467877717,0.15221278327291876
147,Porsche,Taycan,Max MT,Hatchback,Hybrid,0.9999999999999999,CVT,0.0014513788098693744,12132709,13125190,Luxury,5,2022,Germany,0.846504791056878,0.23888178481923475
148,Hyundai,Venue,Signature S,Sedan,Diesel,0.14787375907541858,Automatic,0.017416545718432506,10811175,12692008,Luxury,6,2021,South Korea,0.7843395743731997,0.08958564922323517
149,Porsche,911,Edition S,Hatchback,Petrol,0.36953622758927246,Automatic,0.004354136429608127,3191757,5872268,Premium,2,2016,Germany,0.2727961760113748,0.25723214926537363
150,Ferrari,SF90,Premium Plus,MPV,CNG,0.9999999999999999,CVT,0.024673439767779387,2560009,4543381,Premium,4,2025,Italy,0.20333576212525095,0.40780176338741003
151,Honda,Amaze,LX Turbo,Sedan,Diesel,0.5920877166987701,DCT,0.008708272859216255,10399939,12733138,Luxury,7,2019,Japan,0.7712276407691694,0.17865852864818738
152,Kia,Carens,Sport Plus,Luxury Sedan,Electric,0.0,Automatic,0.532656023222061,1841850,4414274,Premium,2,2018,South Korea,0.17331923838083108,0.39309979853251353
153,Maruti Suzuki,Brezza,Base EV,SUV,Hybrid,0.4442139576233516,Manual,0.01451378809869376,1817726,2807185,Mid,6,2022,Japan/India,0.11552942532718986,0.31504026102741567
